House_Type
Block Of Flats
Bungalow
Detached House
Duplex
Flat
Maisonette
Penthouse
Semi-Detached House
Studio Apartment
Terraced House

bedrooms,bathrooms,toilets,parking_space,House_Type,town,state,price
6.0,5.0,5.0,4.0,Studio Apartment,Mabushi,FCT,450000000
4.0,5.0,5.0,4.0,Maisonette,Katampe,FCT,800000000
4.0,5.0,5.0,4.0,Terraced House,Lekki,Lagos,120000000
4.0,4.0,5.0,6.0,Detached House,Ajah,Lagos,40000000
2.0,2.0,3.0,6.0,Duplex,Epe,Lagos,12000000
3.0,4.0,5.0,4.0,Flat,Lokogoma District,FCT,25000000
6.0,6.0,6.0,4.0,Semi-Detached House,Oredo,Edo,45000000
6.0,6.0,7.0,4.0,Block Of Flats,Victoria Island (Vi),Lagos,450000000
3.0,4.0,4.0,3.0,Penthouse,Mowe Ofada,Ogun,12000000
3.0,3.0,4.0,2.0,Studio Apartment,Ikeja,Lagos,350000000
6.0,8.0,8.0,3.0,Bungalow,Ikoyi,Lagos,850000000
4.0,4.0,5.0,4.0,Terraced House,Magodo,Lagos,140000000
5.0,5.0,6.0,6.0,Flat,Kaura,FCT,150000000
4.0,4.0,5.0,8.0,Flat,Galadimawa,FCT,70000000
6.0,6.0,7.0,8.0,Bungalow,Gwarinpa,FCT,130000000
2.0,2.0,2.0,4.0,Terraced House,Abeokuta North,Ogun,4000000
3.0,4.0,4.0,6.0,Detached House,Lugbe District,FCT,30000000
2.0,3.0,3.0,3.0,Penthouse,Ibeju Lekki,Lagos,12000000
4.0,2.0,2.0,4.0,Detached House,Yaba,Lagos,40000000
1.0,2.0,2.0,1.0,Semi-Detached House,Sango Ota,Ogun,6900000
3.0,3.0,4.0,4.0,Penthouse,Ifako-Ijaiye,Lagos,12500000
4.0,4.0,5.0,4.0,Maisonette,Agege,Lagos,60000000
2.0,5.0,5.0,4.0,Studio Apartment,Ikorodu,Lagos,22500000
4.0,5.0,5.0,4.0,Bungalow,Jahi,FCT,75000000
3.0,3.0,3.0,4.0,Semi-Detached House,Ibadan,Oyo,10000000
4.0,5.0,5.0,4.0,Studio Apartment,Orozo,FCT,52500000
5.0,5.0,5.0,1.0,Terraced House,Ifo,Ogun,15000000
5.0,3.0,3.0,4.0,Bungalow,Owerri North,Imo,50000000
5.0,6.0,8.0,1.0,Studio Apartment,Guzape District,FCT,280000000
3.0,3.0,4.0,4.0,Maisonette,Idu Industrial,FCT,135000000
5.0,5.0,6.0,5.0,Terraced House,Owerri Municipal,Imo,60000000
4.0,4.0,5.0,4.0,Terraced House,Isheri North,Lagos,40000000
